product_id,price,option,date_created,is_immediate_delivery_item
122102,250000,275,2025-01-10T07:56:41Z,false
122102,165000,265,2025-01-09T22:17:22Z,false
122102,170000,265,2025-01-09T09:42:29Z,false
122102,168000,260,2025-01-09T09:41:42Z,false
122102,155000,250,2025-01-09T06:48:04Z,false
122102,156000,260,2025-01-09T01:35:11Z,false
122102,206000,270,2025-01-08T12:33:25Z,false
122102,207000,270,2025-01-08T07:41:28Z,false
122102,208000,270,2025-01-08T07:25:03Z,false
122102,162000,260,2025-01-08T05:31:15Z,false
122102,161000,260,2025-01-08T02:37:26Z,false
122102,161000,260,2025-01-08T02:37:04Z,false
122102,174000,265,2025-01-08T01:29:26Z,false
122102,161000,260,2025-01-08T01:18:05Z,false
122102,245000,280,2025-01-07T13:04:43Z,false
122102,175000,265,2025-01-07T10:21:06Z,false
122102,173000,265,2025-01-07T03:56:27Z,false
122102,174000,265,2025-01-07T03:55:31Z,false
122102,173000,265,2025-01-07T03:54:50Z,false
122102,212000,270,2025-01-06T21:13:07Z,false
122102,175000,265,2025-01-06T15:50:40Z,false
122102,167000,260,2025-01-06T15:49:38Z,false
122102,174000,265,2025-01-06T15:19:45Z,false
122102,167000,260,2025-01-06T15:18:26Z,false
122102,165000,255,2025-01-06T13:07:58Z,false
122102,173000,265,2025-01-06T12:36:20Z,false
122102,176000,265,2025-01-06T11:08:21Z,false
122102,168000,260,2025-01-06T08:43:46Z,false
122102,172000,265,2025-01-05T11:52:21Z,false
122102,154000,255,2025-01-05T07:35:28Z,false
122102,155000,250,2025-01-05T07:34:57Z,false
122102,165000,265,2025-01-05T01:49:22Z,false
122102,166000,265,2025-01-05T01:48:57Z,false
122102,166000,265,2025-01-05T01:41:42Z,false
122102,179000,260,2025-01-04T13:00:43Z,false
122102,180000,265,2025-01-04T06:33:23Z,false
122102,175000,260,2025-01-04T06:31:41Z,false
122102,174000,260,2025-01-04T06:30:04Z,false
122102,175000,260,2025-01-04T03:02:03Z,false
122102,180000,265,2025-01-04T02:38:15Z,false
122102,220000,270,2025-01-03T10:13:37Z,false
122102,174000,260,2025-01-03T10:12:48Z,false
122102,160000,260,2025-01-03T03:20:29Z,false
122102,170000,265,2025-01-03T03:16:56Z,false
122102,165000,260,2025-01-03T03:16:13Z,false
122102,170000,260,2025-01-03T01:53:28Z,false
122102,171000,260,2025-01-03T01:52:41Z,false
122102,175000,260,2025-01-03T01:46:05Z,false
122102,176000,260,2025-01-03T01:45:28Z,false
122102,166000,250,2025-01-03T01:37:03Z,false
122102,150000,260,2025-01-03T01:34:07Z,false
122102,175000,260,2025-01-03T01:33:16Z,false
122102,176000,260,2025-01-03T01:32:26Z,false
122102,181000,260,2025-01-03T00:05:30Z,false
122102,191000,265,2025-01-03T00:05:15Z,false
122102,192000,265,2025-01-03T00:05:00Z,false
122102,217000,260,2025-01-02T17:43:11Z,true
