date,상품,카테고리,발매가,브랜드,리셀가
2025-01-11T09:17:29Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,190000
2025-01-11T09:01:51Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-11T08:42:58Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,239000
2025-01-11T08:38:03Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,192000
2025-01-11T07:56:15Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,196000
2025-01-11T07:00:48Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-11T05:38:07Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-11T05:17:47Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-11T05:01:34Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,202000
2025-01-11T05:00:34Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,232000
2025-01-11T02:26:17Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,195000
2025-01-11T02:17:49Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,185000
2025-01-11T00:42:31Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-11T00:04:26Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-10T19:10:39Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,190000
2025-01-10T18:00:10Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,193000
2025-01-10T17:55:23Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-10T17:44:25Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-10T17:06:00Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,188000
2025-01-10T17:00:54Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,218000
2025-01-10T17:00:22Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-10T16:46:54Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,195000
2025-01-10T13:36:25Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,212000
2025-01-10T12:42:38Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,211000
2025-01-10T12:10:09Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-10T11:22:57Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-10T11:13:28Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,206000
2025-01-10T10:31:30Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-10T08:50:07Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-10T08:43:02Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-10T07:37:47Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-10T06:31:02Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-10T06:04:55Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,193000
2025-01-10T05:49:17Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-10T05:28:39Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,256000
2025-01-10T05:07:31Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-10T04:49:46Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,231000
2025-01-10T03:58:40Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-10T03:28:46Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-10T01:55:03Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-10T01:53:04Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-10T01:23:09Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-10T00:52:01Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,199000
2025-01-10T00:14:19Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-09T23:27:22Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,181000
2025-01-09T22:37:31Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,196000
2025-01-09T18:58:31Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,282000
2025-01-09T18:47:07Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-09T14:36:57Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-09T13:48:31Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,208000
2025-01-09T13:18:48Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,197000
2025-01-09T13:14:19Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,199000
2025-01-09T13:10:10Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-09T12:25:40Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
