date,상품,카테고리,발매가,브랜드,리셀가
2025-01-13T11:53:00Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:51:54Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T11:51:05Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:49:58Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T11:47:17Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:45:27Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:45:06Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T11:44:59Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:41:17Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T11:41:16Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,106000
2025-01-13T11:38:50Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:34:05Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:32:58Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:25:06Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T11:23:31Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T11:21:18Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T11:18:04Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T11:16:38Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:15:43Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T11:14:01Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T11:12:42Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:10:54Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T11:08:05Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T11:01:50Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T10:59:43Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T10:59:30Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T10:50:58Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T10:50:43Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T10:49:14Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T10:47:46Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,116000
2025-01-13T10:45:06Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T10:45:00Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T10:43:06Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T10:40:35Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T10:39:18Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T10:38:00Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T10:37:59Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T10:37:54Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,108000
2025-01-13T10:32:08Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T10:29:08Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T10:28:16Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T10:27:59Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T10:26:57Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T10:26:43Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
