product_id,name,original_price,brand
67945, Jordan 1 x Travis Scott Retro Low OG SP Sail and Ridgerock ,189000,jordan
332894, Jordan 1 Retro Low OG Mocha ,169000,jordan
389760, Jordan 1 Retro Low OG Game Royal ,169000,jordan
288640, (W) Jordan 1 x Travis Scott Retro Low OG SP Canary ,179000,jordan
387793, Jordan x Travis Scott Jumpman Jack TR Black and Dark Mocha ,239000,jordan
147936, Jordan 1 Retro Low OG Black Toe ,169000,jordan
38367, Jordan 1 x Travis Scott x Fragment Retro Low OG SP Military Blue ,189000,jordan
23354, Jordan 1 Mid Light Smoke Grey ,159000,jordan
308805, Jordan 1 Retro Low OG Wolf Grey and White ,169000,jordan
343162, Jordan 1 Retro High OG Midnight Navy ,219000,jordan
89369, Jordan 1 x Travis Scott Retro Low OG SP Black Phantom ,189000,jordan
8004, Jordan 1 Retro High OG Black Toe 2016 ,230400,jordan
52130, Jordan 1 Retro High OG Heritage ,209000,jordan
7658, Jordan 1 Retro High OG Bred Banned 2016 ,230400,jordan
425657, Jordan 5 Retro OG Reimagined ,249000,jordan
361097, Jordan 1 Retro Low OG Gym Red and Midnight Navy ,169000,jordan
109984, (W) Jordan 1 x Travis Scott Retro Low OG SP Medium Olive ,179000,jordan
113527, (W) Jordan 1 Low Black and White ,139000,jordan
98013, Jordan 1 High 85 Black White ,239000,jordan
25922, Jordan 1 Retro High OG Black Mocha ,199000,jordan
45326, Jordan 1 Retro High OG Patent Bred ,199000,jordan
17628, Jordan 1 x Union Retro High Black Toe ,273600,jordan
145303, Jordan 1 Low Kkachi ,159000,jordan
47257, Jordan 1 Mid Light Smoke Grey Anthracite ,149000,jordan
23536, Jordan 1 Low Paris ,149000,jordan
281127, Jordan 1 Retro Low OG Shadow ,169000,jordan
72385, Jordan 1 Retro High OG Taxi ,209000,jordan
237579, Jordan x Travis Scott Jumpman Jack TR Sail and Dark Mocha ,239000,jordan
66930, Jordan 1 Low Stealth and White ,129000,jordan
23940, (W) Jordan 1 Low UNC University Blue ,119000,jordan
70263, Jordan 1 Retro Low OG Black and Dark Powder Blue ,159000,jordan
408000, (PS) Jordan 1 x Travis Scott Retro Low OG SP Velvet Brown and Dark Mocha ,79000,jordan
354254, (PS) Jordan 1 x Travis Scott Retro Low OG SP Reverse Olive ,79000,jordan
19328, Jordan 1 Retro High OG Defiant Couture ,252000,jordan
27986, Jordan 1 Retro High OG University Blue ,199000,jordan
354255, (TD) Jordan 1 x Travis Scott Retro Low OG SP Reverse Olive ,65000,jordan
77086, Jordan 1 Retro High OG Vachetta Tan ,209000,jordan
25789, Jordan 1 Low Light Smoke Grey ,119000,jordan
236450, Jordan 4 Retro Bred Reimagined ,249000,jordan
74156, Jordan 1 Retro High OG Stealth ,209000,jordan
408001, (TD) Jordan 1 x Travis Scott Retro Low OG SP Velvet Brown and Dark Mocha ,65000,jordan
332043, Jordan 1 Low White Midnight Navy ,165600,jordan
122102, Jordan 1 Retro High Spider-Man Next Chapter ,239000,jordan
25785, New Balance 2002R Grey ,169000,new%20balance
418841, New Balance 740v2 Black Silver Metallic ,139000,new%20balance
