product_id,price,option,date_created,is_immediate_delivery_item
429528,363000,260,2025-02-18T16:20:15Z,false
429528,350000,265,2025-02-18T14:51:10Z,false
429528,350000,270,2025-02-18T09:54:38Z,false
429528,350000,270,2025-02-18T06:31:11Z,false
429528,340000,245,2025-02-18T03:59:36Z,false
429528,352000,265,2025-02-18T00:40:43Z,false
429528,364000,255,2025-02-17T23:16:48Z,false
429528,349000,270,2025-02-17T15:07:24Z,false
429528,379000,285,2025-02-17T14:59:48Z,false
429528,339000,245,2025-02-17T13:48:06Z,false
429528,390000,295,2025-02-17T13:48:06Z,false
429528,348000,270,2025-02-17T03:45:46Z,false
429528,347000,270,2025-02-17T01:56:47Z,false
429528,341000,270,2025-02-16T18:21:33Z,false
429528,370000,280,2025-02-16T07:54:11Z,false
429528,355000,280,2025-02-16T03:05:56Z,false
429528,354000,280,2025-02-16T02:18:12Z,false
429528,350000,245,2025-02-16T00:07:00Z,false
429528,335000,235,2025-02-15T17:45:56Z,false
429528,373000,275,2025-02-15T13:40:50Z,false
429528,362000,275,2025-02-15T13:38:52Z,false
429528,349000,260,2025-02-15T08:57:44Z,false
429528,347000,270,2025-02-15T07:31:17Z,false
429528,350000,265,2025-02-15T06:22:53Z,false
429528,347000,270,2025-02-15T05:33:14Z,false
429528,360000,265,2025-02-15T03:42:05Z,false
429528,353000,270,2025-02-15T02:00:08Z,false
429528,373000,275,2025-02-15T01:42:25Z,false
429528,355000,280,2025-02-14T14:21:48Z,false
429528,348000,270,2025-02-14T13:46:18Z,false
429528,340000,250,2025-02-14T13:05:58Z,false
429528,360000,275,2025-02-14T12:45:21Z,false
429528,357000,275,2025-02-14T12:20:22Z,false
429528,340000,230,2025-02-14T09:50:23Z,false
429528,344000,265,2025-02-14T08:22:12Z,false
429528,393000,255,2025-02-14T07:14:00Z,false
429528,341000,270,2025-02-14T07:03:28Z,false
429528,350000,270,2025-02-14T05:57:49Z,false
429528,370000,265,2025-02-14T05:12:09Z,false
429528,360000,260,2025-02-14T04:56:42Z,false
429528,361000,270,2025-02-14T04:48:51Z,false
429528,352000,280,2025-02-14T04:47:30Z,false
429528,365000,265,2025-02-14T04:39:20Z,false
429528,351000,280,2025-02-14T04:38:57Z,false
429528,364000,265,2025-02-14T03:24:33Z,false
429528,349000,280,2025-02-14T02:50:12Z,false
429528,369000,275,2025-02-14T02:43:03Z,false
429528,364000,265,2025-02-14T02:42:57Z,false
429528,360000,260,2025-02-14T02:28:30Z,false
429528,368000,275,2025-02-14T02:25:53Z,false
429528,340000,260,2025-02-14T02:08:48Z,false
429528,366000,265,2025-02-14T02:04:04Z,false
429528,390000,265,2025-02-12T01:49:20Z,false
429528,370000,270,2025-02-11T17:45:08Z,false
