,resell_index,kospi_index,sp500_index
resell_index,1.0,-0.11283787461854913,0.20990230072168486
kospi_index,-0.11283787461854913,1.0,0.5370414017051882
sp500_index,0.20990230072168486,0.5370414017051882,1.0
